Region,DataYear,ClassGrade,Gender,Ageyears,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Schoolwork_Pressure,Superpower,Handed,Travel_to_School,Travel_time_to_School,Left_Footlength_cm,Longer_Finger_Lefthand,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Watching_TV_Hours,Planned_Education_Level,Favorite_Music
OH,2014,6,Female,12,5,12,Some,Fly,Right-Handed,Walk,15,23,Same length,Yes - other,Other,175,200,40,8,2,1,72,72,10,Some college,Pop
CA,2017,12,Female,16,6,8,Some,Invisibility,Right-Handed,Car,3,23,Index finger,Yes - broadband connection,Cell phone,200,215,4,8,13,15,10,23,0,Undergraduate degree,Other
CA,2017,11,Female,17,7,7,Some,Invisibility,Right-Handed,Car,20,23.5,Index finger,Yes - broadband connection,Text messaging,88,147,45,21,9,10,14,21,1,Undergraduate degree,Rap/Hip hop
MO,2014,12,Female,17,6,8,Some,Invisibility,Right-Handed,Car,6,22,Index finger,Yes - broadband connection,Text messaging,100,102,10,10,4,5,6,2,2,High school,Pop
NC,2014,12,Male,18,7,6,Some,Freeze time,Right-Handed,Car,3,42,Ring finger,Yes - broadband connection,Cell phone,100,130,30,4,2,6,4,2,3,Graduate degree,Rap/Hip hop
WI,2017,7,Male,13,10,8,Some,Freeze time,Left-Handed,Car,12,27,Same length,Yes - broadband connection,Internet chat or instant messaging,2,1,45,3,20,10,40,30,4,Other,Rap/Hip hop
MA,2016,8,Female,13,7,9,Some,Telepathy,Right-Handed,Car,12,22,Ring finger,Yes - other,Text messaging,150,150,24,5,3,7,20,20,4,Graduate degree,Country
WY,2014,7,Female,12,8,10,A lot,Telepathy,Right-Handed,Walk,15,24,Index finger,Yes - other,In person,24,26,30,24,8,2,0,2,4,Graduate degree,Pop
SC,2017,11,Female,16,7,11,A lot,Invisibility,Right-Handed,Car,7,25,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,27,10,10,2,15,4,3,4,Graduate degree,Rap/Hip hop
NC,2016,12,Male,16,7,8,A lot,Telepathy,Right-Handed,Car,20,30,Index finger,Yes - broadband connection,Text messaging,50,50,17,7,20,12,20,20,6,Graduate degree,Rock and roll
UT,2010,9,Female,16,7,7,A lot,Freeze time,Right-Handed,Walk,20,10,Ring finger,Yes - other,Cell phone,5,15,10,1,15,2,3,1,10,Some college,Rap/Hip hop
MA,2018,12,Male,17,5.5,10,Some,Fly,Right-Handed,Car,6,25,Ring finger,Yes - broadband connection,Internet chat or instant messaging,20,20,6,8,6,12,4,1,4,High school,Rap/Hip hop
TX,2015,4,Male,10,8,10,Some,Fly,Right-Handed,Car,5,22,Ring finger,Yes - other,In person,0,0,10,1,54,16,1,0,5,Graduate degree,Pop
IN,2014,12,Female,17,7,11,A lot,Telepathy,Right-Handed,Car,180,21.59,Ring finger,Yes - broadband connection,Internet chat or instant messaging,0,1,38,21,0,0,50,20,0,Graduate degree,Techno/Electronic
VI,2014,12,Female,18,7,5,Very little,Freeze time,Right-Handed,Car,50,21,Same length,Yes - other,Cell phone,6,7,20,3,22,12,24,24,23,Graduate degree,Rap/Hip hop
CA,2016,7,Female,12,7,12,Very little,Fly,Right-Handed,Car,10,24,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",5,12,10,15,8,3,20,3,15,Graduate degree,Pop
MA,2016,8,Male,13,8,6,A lot,Fly,Ambidextrous,Bus,15,25,Ring finger,Yes - broadband connection,Text messaging,46,47,5,1,2,2,1,6,2,Some college,Rap/Hip hop
OH,2018,12,Male,17,9,20,Some,Freeze time,Left-Handed,Car,5,30,Ring finger,Yes - broadband connection,Text messaging,200,250,36,0,24,9,169,169,189,Graduate degree,Rap/Hip hop
NC,2016,11,Male,16,6,9,A lot,Invisibility,Right-Handed,Car,10,26,Ring finger,Yes - broadband connection,Text messaging,100,300,5,30,3,2,4,5,4,Graduate degree,Rap/Hip hop
NY,2015,11,Female,16,7,7,Some,Fly,Right-Handed,Rail (Train/Tram/Subway),52,21,Ring finger,Yes - broadband connection,In person,150,150,40,7,12,9,0,2,3,Undergraduate degree,Other
MA,2017,8,Female,12,8,10.5,Some,Freeze time,Right-Handed,Car,15,27,Ring finger,Yes - broadband connection,Text messaging,80,91,45,7,8,18,21,5,14,Undergraduate degree,Country
MI,2018,12,Female,17,6,8,Some,Telepathy,Left-Handed,Car,17,24.7,Index finger,Yes - other,Text messaging,49,52,4,4,1,6,20,7,16,Graduate degree,Rhythm and blues (R&B)
CA,2018,11,Female,17,6,7,Some,Telepathy,Right-Handed,Car,5,22,Ring finger,Yes - broadband connection,Cell phone,6,9,5,7,8,6,2,2,3,Undergraduate degree,Country
WI,2017,8,Male,15,7,6,Some,Super strength,Right-Handed,Car,15,28,Ring finger,Yes - dial-up connection,Text messaging,60,65,6,1,3,10,4,,,Some college,Rap/Hip hop
MA,2017,8,Male,14,8,9,Some,Freeze time,Right-Handed,Bus,35,25,Ring finger,Yes - other,Cell phone,8,15,15,5,15,7,20,1,5,Graduate degree,Country
WI,2015,7,Male,12,1,10,None,Invisibility,Ambidextrous,Car,5,35,Index finger,Yes - other,Internet chat or instant messaging,0,5,1,0,7,4,300,300,6,Graduate degree,Techno/Electronic
SC,2014,11,Male,16,8,7,Some,Fly,Right-Handed,Car,10,23,Index finger,Yes - broadband connection,In person,100,100,7,1,2,6,8,2,3,Undergraduate degree,Rock and roll
CA,2016,11,Female,16,6,5,A lot,Freeze time,Right-Handed,Walk,30,,Ring finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,100,17,14,7,14,7,7,10,Other,Country
AZ,2013,12,Female,17,7,10,A lot,Fly,Right-Handed,Car,15,24,Ring finger,Yes - other,In person,30,30,15,10,2,10,5,3,1,Undergraduate degree,Other
SC,2013,11,Male,15,6,10,A lot,Freeze time,Right-Handed,Car,10,27,Index finger,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",6,6,15,15,7,21,7,2,15,Graduate degree,Techno/Electronic
PA,2017,12,Female,15,7,9,Some,Telepathy,Right-Handed,Bus,10,23.5,Ring finger,Yes - other,Internet chat or instant messaging,20,25,4,10,0,18,4,2,0,Graduate degree,Pop
MI,2016,12,Female,17,7,9,A lot,Fly,Right-Handed,Car,20,,,Yes - other,Text messaging,50,100,4,5,3,20,14,14,4,Graduate degree,Rap/Hip hop
PA,2016,12,Male,16,8,10,Some,Invisibility,Right-Handed,Bus,10,25,Ring finger,Yes - broadband connection,Text messaging,20,20,10,12,5,8,10,2,8,Graduate degree,Rock and roll
CA,2017,12,Male,17,8,8,Some,Telepathy,Right-Handed,Bus,20,29,Ring finger,Yes - broadband connection,Text messaging,34,34,8,4,6,0,12,12,20,Graduate degree,Other
MD,2016,6,Male,12,9,8,Some,Freeze time,Right-Handed,Bus,15,23,Same length,Yes - broadband connection,In person,0,0,15,15,20,10,0,0,4,Graduate degree,Rap/Hip hop
OK,2018,11,Female,16,8,11,A lot,Telepathy,Right-Handed,Car,10,21,Ring finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",75,75,6,5,8,1,15,10,2,Other,Pop
FL,2010,12,Female,17,6,11,A lot,Telepathy,Right-Handed,Car,20,22.5,Ring finger,Yes - broadband connection,Text messaging,154,153,12,16,13,8,2,3,7,Other,Rap/Hip hop
KS,2015,12,Male,16,7,8,Very little,Telepathy,Left-Handed,Car,8,25,Ring finger,Yes - broadband connection,Text messaging,78,89,10,2,5,0,2,24,0,Undergraduate degree,Other
MA,2017,8,Female,13,10,11,A lot,Freeze time,Right-Handed,Car,45,22.86,Ring finger,Yes - broadband connection,In person,70,70,40,20,15,10,10,20,2,Graduate degree,Pop
RI,2015,12,Female,18,6,12,A lot,Fly,Right-Handed,Bus,15,22,Ring finger,Yes - broadband connection,Cell phone,150,200,4,1,3,0,2,2,1,Graduate degree,Pop
CA,2016,12,Male,17,7,9,Some,Invisibility,Right-Handed,Car,30,24.9,Ring finger,Yes - other,Text messaging,50,19,0,3,8,2,15,0,0,Graduate degree,Other
WI,2017,11,Male,17,8,6,Some,Invisibility,Right-Handed,Bus,15,28,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",11,14,2,2,5,4,6,5,0,High school,Rock and roll
KY,2019,7,Female,12,7,3,Very little,Telepathy,Right-Handed,Bus,10,8 1/2,Index finger,Yes - other,Text messaging,2,2,0,0,1,2,9,5,3,Other,Rap/Hip hop
PA,2011,12,Male,17,5,11,A lot,Freeze time,Right-Handed,Car,8,25,Ring finger,Yes - broadband connection,In person,0,0,10,7,2,6,0,4,0,Other,Other
CA,2014,6,Female,12,5,5,A lot,Invisibility,Left-Handed,Car,9,23,Same length,Yes - other,In person,0,20,40,15,48,10,2,3,3,Graduate degree,Other
NY,2016,12,Female,17,6,10,A lot,Freeze time,Right-Handed,Rail (Train/Tram/Subway),70,23,Index finger,Yes - broadband connection,Text messaging,100,90,10,10,0,0,3,10,0,Graduate degree,Reggae
CA,2018,12,Male,17,6,6,Some,Freeze time,Right-Handed,Car,10,24,Ring finger,Yes - dial-up connection,Cell phone,0,4,2,10,5,2,0,1,0,Undergraduate degree,Classical
DE,2016,12,Male,17,8,10,A lot,Fly,Right-Handed,Car,35,26.5,Ring finger,Yes - broadband connection,Text messaging,35,35,3,10,6,1,5,8,12,Graduate degree,Rock and roll
PA,2017,12,Female,16,7,10,Some,Fly,Right-Handed,Walk,3,27,Index finger,Yes - broadband connection,In person,60,60,6,1,6,10,60,50,13,Undergraduate degree,Country
CA,2013,10,Female,16,7,8,Some,Freeze time,Right-Handed,Car,30,24,Index finger,Yes - broadband connection,In person,10,15,5,16,5,5,4,3,5,Graduate degree,Pop
VA,2018,4,Male,9,7,7,Very little,Invisibility,Right-Handed,Walk,2,22,Ring finger,Yes - dial-up connection,In person,0,0,5,0,5,2,0,0,1,Some college,Classical
MN,2015,12,Female,17,4,9,Some,Telepathy,Right-Handed,Boat,7,11,Ring finger,Yes - other,Cell phone,16,10,24,1,0,3,9,3,0,Some college,Heavy metal
DC,2012,6,Male,11,9.5,9.5,Some,Fly,Right-Handed,Walk,15,22,Ring finger,Yes - broadband connection,Text messaging,47,47,8,3,6,5,6,7,9,Graduate degree,Rap/Hip hop
NJ,2017,12,Female,17,8,11,Very little,Telepathy,Right-Handed,Car,15,24.1,Index finger,Yes - broadband connection,Text messaging,700,800,10,3,4,2,7,5,5,Graduate degree,Country
NE,2013,9,Female,16,8,9,Some,Freeze time,Right-Handed,Car,10,27,Ring finger,Yes - broadband connection,Text messaging,20,20,10,10,5,5,5,5,7,Graduate degree,Country
IN,2018,11,Female,17,8,8,Some,Freeze time,Right-Handed,Car,10,21,Same length,Yes - other,Text messaging,20,45,5,5,7,3,2,2,7,Graduate degree,Rock and roll
GA,2014,9,Female,15,8,12,A lot,Fly,Right-Handed,Car,10,23,Index finger,Yes - other,Text messaging,500,500,72,5,6,20,50,168,40,Graduate degree,Rap/Hip hop
WA,2012,12,Male,17,7.5,9,Some,Fly,Right-Handed,Car,13,28,Ring finger,Yes - broadband connection,Text messaging,50,50,10,5,8,14,2,4,0,Graduate degree,Other
WI,2015,12,Male,17,8,10,Some,Freeze time,Right-Handed,Car,10,26,Same length,Yes - broadband connection,Text messaging,53,56,20,12,8,18,2,1,1,Graduate degree,Rap/Hip hop
NC,2017,12,Female,16,3.5,5,A lot,Telepathy,Right-Handed,Car,10,23,Index finger,,,50,30,3,7,5,0,10,4,0.2,Graduate degree,Other
OR,2017,11,Female,16,9,7,Some,Freeze time,Right-Handed,Walk,1,27.94,Same length,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,3,9,7,7,8,8,3,7,Graduate degree,Pop
CA,2015,11,Female,16,10,8,Some,Telepathy,Right-Handed,Bus,8,22.2,,Yes - other,"Myspace, Facebook, other social networking sites, or blog",55,55,7,2,10,6,10,0,2,Some college,Rap/Hip hop
ID,2014,12,Male,17,8,8,Very little,Fly,Right-Handed,Bus,45,27,Ring finger,Yes - broadband connection,Internet chat or instant messaging,15,10,2,2,5,5,2,2,2,Graduate degree,Other
TX,2016,12,Male,16,6,9,A lot,Fly,Left-Handed,Car,10,,Ring finger,Yes - other,Text messaging,120,100,1,1,1,1,1,1,1,Graduate degree,Rap/Hip hop
PA,2018,12,Female,15,7,10,A lot,Invisibility,Right-Handed,Bus,10,70,Same length,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,50,2,10,5,0,10,1,11,Graduate degree,Other
CA,2014,7,Female,12,9,9,None,Fly,Right-Handed,Car,5,12,Ring finger,Yes - broadband connection,In person,2,2,7,10,63,6,2,1,11,Graduate degree,Other
GA,2016,9,Male,15,6,5,Very little,Invisibility,Right-Handed,Car,6,55,Ring finger,Yes - other,Text messaging,5,5,6,4,8,3,7,9,2,Some college,Heavy metal
TX,2018,6,Female,11,6,10,Some,Fly,Right-Handed,Car,2,27,Same length,Yes - other,Internet chat or instant messaging,60,120,10,2,13,2,4,4,4,Other,Pop
CA,2013,12,Female,16,5,12,A lot,Fly,Right-Handed,Walk,14,22,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,2,4,30,3,10,3,0,0,Graduate degree,Other
IL,2014,8,Female,14,8,9,Some,Freeze time,Right-Handed,Bus,30,23,Index finger,Yes - other,Text messaging,5,15,8,5,10,6,5,3,6,Graduate degree,Rap/Hip hop
TX,2017,12,Male,17,8,10,Some,Fly,Right-Handed,Car,5,30,Ring finger,Yes - broadband connection,In person,300,325,15,1,2,15,5,5,10,Graduate degree,Rap/Hip hop
WI,2017,8,Female,14,7,10,Some,Invisibility,Right-Handed,Car,2,24,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",6,7,4,6,2,7,8,6,1,Some college,Rap/Hip hop
WI,2015,8,Female,14,8,13,A lot,Telepathy,Right-Handed,Bus,22,24,Ring finger,No internet connection,Internet chat or instant messaging,65,97,10,1,4,1,30,30,45,Some college,Other
CO,2015,12,Female,17,8,10,Some,Super strength,Right-Handed,Car,6,25,Index finger,Yes - broadband connection,In person,50,50,9,8,8,4,7,1,5,Graduate degree,Other
IN,2016,12,Female,17,7,9,A lot,Freeze time,Right-Handed,Car,12,23.11,Index finger,Yes - broadband connection,In person,12,8,10,12,14,1,0,7,9,Graduate degree,Punk rock
MI,2015,12,Female,17,7,12,Some,Telepathy,Right-Handed,Car,5,21,Index finger,Yes - broadband connection,In person,300,300,30,5,9,20,10,30,20,Undergraduate degree,Rap/Hip hop
CA,2017,12,Male,16,7,8,A lot,Invisibility,Right-Handed,Car,10,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,100,100,1,50,0,1,2,1,0,Graduate degree,Pop
IN,2014,12,Male,16,6,9,Very little,Telepathy,Right-Handed,Car,10,28,Index finger,Yes - broadband connection,In person,75,75,20,5,20,17,21,40,30,Graduate degree,Rap/Hip hop
OR,2012,12,Female,16,6,12,A lot,Telepathy,Right-Handed,Car,10,21,Same length,Yes - broadband connection,,0,5,24,1,1,0,1,1,0,Graduate degree,Rock and roll
CA,2018,12,Male,16,7,8,A lot,Freeze time,Right-Handed,Walk,15,27,Index finger,Yes - broadband connection,Text messaging,200,200,5,15,5,30,0,1,2,Graduate degree,Pop
NC,2018,10,Male,16,6,9,Very little,Super strength,Right-Handed,Car,10,27.8,Index finger,Yes - broadband connection,Internet chat or instant messaging,50,58,6,2,2,9,5,4,1,Graduate degree,Rap/Hip hop
TX,2015,5,Male,10,7,10,Some,Invisibility,Right-Handed,Bus,30,250,Index finger,No internet connection,Text messaging,0,0,10,0,0,1,0,0,7,Graduate degree,Techno/Electronic
IN,2018,12,Male,18,7.5,5,A lot,Invisibility,Right-Handed,Walk,7,25,Same length,Yes - other,"Myspace, Facebook, other social networking sites, or blog",15,13,0,0,0,0,5,5,2,High school,Jazz
MA,2014,8,Female,13,6,8,A lot,Invisibility,Right-Handed,Car,10,22,Index finger,Yes - other,Text messaging,200,205,10,12,3,3,70,80,20,Graduate degree,Pop
NY,2015,7,Male,13,4,12,A lot,Fly,Ambidextrous,Bus,45,25,Ring finger,Yes - broadband connection,E-mail,0,0,7,10,7,10,1,1,0,Graduate degree,Techno/Electronic
SC,2013,11,Male,16,8,7,Very little,Super strength,Right-Handed,Car,15,29,Index finger,Yes - broadband connection,In person,50,50,10,1,10,15,1,2,2,Graduate degree,Other
NC,2017,11,Female,17,5,12,A lot,,Right-Handed,Car,7,,,,Text messaging,45,56,0,,,0,,,,Other,
IN,2010,12,Female,16,7,10,A lot,Fly,Right-Handed,Car,10,20.5,Same length,Yes - broadband connection,In person,150,156,45,12,8,12,4,40,9,Graduate degree,Pop
CA,2015,6,Male,11,8,10,Some,Freeze time,Ambidextrous,Car,5,23,Ring finger,Yes - broadband connection,Text messaging,22,9,1,10,2,2,7,1,2,Graduate degree,Classical
NY,2017,12,Male,17,6,10,Some,Freeze time,Right-Handed,Rail (Train/Tram/Subway),45,26,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,5,7,25,10,0,5,1,0,Undergraduate degree,Pop
NJ,2012,9,Female,15,7,4,Some,Telepathy,Right-Handed,Car,11,20.5,Ring finger,Yes - broadband connection,Text messaging,77,77,3,10,15,2,50,40,8,Some college,Other
MA,2017,8,Female,14,8,9,A lot,Telepathy,Right-Handed,Car,6,24,Ring finger,Yes - broadband connection,In person,80,300,20,5,24,8,50,50,50,Graduate degree,Country
WI,2014,12,Female,17,7,11,Some,Invisibility,Right-Handed,Car,20,23,Ring finger,Yes - other,In person,45,250,1,11,12,8,2,3,5,Graduate degree,Rap/Hip hop
CA,2016,12,Male,16,7,10,A lot,Telepathy,Right-Handed,Car,10,26,Index finger,Yes - broadband connection,Text messaging,30,35,50,55,10,25,45,50,5,Graduate degree,Rock and roll
WI,2017,6,Female,12,6,10,A lot,Invisibility,Right-Handed,Car,5,22,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",14,12,3,9,8,10,6,0,0,Graduate degree,Pop
IL,2017,9,Female,14,5,8,A lot,Telepathy,Right-Handed,Walk,15,22,Index finger,Yes - broadband connection,In person,3,7,5,12,5,5,1,3,24,Graduate degree,Punk rock
IN,2013,12,Female,18,7,10,Some,Fly,Left-Handed,Car,12,24,Same length,Yes - broadband connection,In person,20,20,15,10,5,10,3,5,5,,Rap/Hip hop
OH,2018,7,Female,12,8.5,11,A lot,Invisibility,Right-Handed,Car,60,21,Ring finger,Yes - other,In person,50,50,5,4,5,1,2,6,4,Some college,Pop
NY,2017,6,Male,12,5,2,Very little,Freeze time,Ambidextrous,Bus,10,27,Same length,Yes - other,In person,0,47,4,1,5,2,1,1,8,Graduate degree,Pop
SC,2019,11,Female,15,8,11,A lot,Fly,Right-Handed,Car,7,22.5,Same length,Yes - broadband connection,,15,10,3,3,6,0,48,48,10,Graduate degree,Pop
MI,2013,12,Male,17,8,10,Some,Freeze time,Right-Handed,Car,8,27,Same length,Yes - broadband connection,Text messaging,200,240,20,3,12,20,3,8,6,Graduate degree,Other
NY,2015,12,Female,17,7.5,8,Very little,Telepathy,Right-Handed,Car,12,21,Same length,Yes - other,Text messaging,200,220,6,8,5,22,4,2,1,Graduate degree,Rap/Hip hop
UT,2015,12,Female,420,420,420,Very little,Telepathy,Ambidextrous,Boat,420,420,Index finger,No internet connection,Telephone,23940,32412,0,0,0,0,168,0,0,Less than high school,Gospel
OH,2013,12,Male,17,7,8,Some,Fly,Right-Handed,Car,11,30.48,Index finger,Yes - broadband connection,Text messaging,100,100,20,2,2,2,15,15,20,Graduate degree,Punk rock
WI,2014,11,Male,17,8.5,9,Some,Freeze time,Right-Handed,Rail (Train/Tram/Subway),79,26,Ring finger,Yes - broadband connection,In person,0,4,1,0,20,6,4,1,18,Graduate degree,Other
OH,2012,4,Male,10,7,6,A lot,Telepathy,Ambidextrous,Car,30,20,Index finger,Yes - other,In person,0,0,7,15,4,4,1,0,5,Graduate degree,Country
UT,2017,12,Female,16,7,10,Very little,Fly,Right-Handed,Bus,15,25,Ring finger,Yes - other,Cell phone,300,300,15,3,15,8,5,20,15,Graduate degree,Rap/Hip hop
NC,2015,12,Male,17,6,14,A lot,Super strength,Right-Handed,Car,7,27,Ring finger,Yes - broadband connection,Text messaging,210,300,1,1,1,2,1,1,1,Graduate degree,Country
PA,2018,12,Male,17,6,11,A lot,Fly,Right-Handed,Bus,25,24,Index finger,Yes - broadband connection,Text messaging,4,6,12,6,2.5,3,0.3,0.3,0,Graduate degree,Techno/Electronic
